issue_type,original_city_key,grid_id,station_names,review_decision,canonical_station_name,primary_station_name,verified_city_key,study_disposition,review_basis
multiple_station_events_in_grid,beijing,g00106x00186,角門東站;角门东(地铁站),same_physical_station,角门东站,角门东(地铁站),beijing,merge_to_primary_metro_event,user_review
multiple_station_events_in_grid,chengdu,g00123x00207,双流机场2航站楼(地铁站);双流机场2航站楼东(地铁站),distinct_physical_stations,,,chengdu,exclude_grid_from_primary_design,user_review
multiple_station_events_in_grid,chengdu,g00128x00253,龙泉驿火车站(地铁站);龙泉驿火车站南(地铁站),distinct_physical_stations,,,chengdu,exclude_grid_from_primary_design,user_review
multiple_station_events_in_grid,chengdu,g00135x00235,淨居寺站;净居寺(地铁站),same_physical_station,净居寺站,淨居寺站,chengdu,merge_to_primary_metro_event,user_review
multiple_station_events_in_grid,chengdu,g00165x00227,石犀公园(地铁站);石犀公園站,same_physical_station,石犀公园站,石犀公园(地铁站),chengdu,merge_to_primary_metro_event,user_review
multiple_station_events_in_grid,chongqing,g00316x00287,重庆东站（重庆轨道交通）;重庆东,same_physical_station,重庆东站,重庆东站（重庆轨道交通）,chongqing,merge_to_primary_metro_event,user_review
multiple_station_events_in_grid,chongqing,g00329x00260,佛图关站;鹅岭站,distinct_physical_stations,,,chongqing,exclude_grid_from_primary_design,user_review
multiple_station_events_in_grid,chongqing,g00333x00270,朝天门轨交站;朝天门(地铁站),same_physical_station,朝天门站,朝天门(地铁站),chongqing,merge_to_primary_metro_event,user_review
multiple_station_events_in_grid,chongqing,g00335x00260,觀音橋站;观音桥(地铁站),same_physical_station,观音桥站,观音桥(地铁站),chongqing,merge_to_primary_metro_event,user_review
multiple_station_events_in_grid,chongqing,g00337x00259,紅旗河溝站;红旗河沟(地铁站),same_physical_station,红旗河沟站,红旗河沟(地铁站),chongqing,merge_to_primary_metro_event,user_review
multiple_station_events_in_grid,chongqing,g00343x00202,璧山站;1号地铁站,distinct_modes_same_interchange,璧山站,璧山站,chongqing,keep_metro_primary_censor_at_yunba_opening,user_review
multiple_station_events_in_grid,chongqing,g00350x00311,复盛站;石河清(地铁站),distinct_physical_stations,,,chongqing,exclude_grid_from_primary_design,user_review
multiple_station_events_in_grid,chongqing,g00357x00266,園博園站;园博园(地铁站),same_physical_station,园博园站,园博园(地铁站),chongqing,merge_to_primary_metro_event,user_review
multiple_station_events_in_grid,chongqing,g00360x00267,翠雲站;翠云(地铁站),same_physical_station,翠云站,翠云(地铁站),chongqing,merge_to_primary_metro_event,user_review
multiple_station_events_in_grid,chongqing,g00361x00274,回興站;回兴(地铁站),same_physical_station,回兴站,回兴(地铁站),chongqing,merge_to_primary_metro_event,user_review
multiple_station_events_in_grid,chongqing,g00363x00276,雙龍站;双龙(地铁站),same_physical_station,双龙站,双龙(地铁站),chongqing,merge_to_primary_metro_event,user_review
multiple_station_events_in_grid,chongqing,g00371x00279,空港广场(地铁站);空港廣場站,same_physical_station,空港广场站,空港广场(地铁站),chongqing,merge_to_primary_metro_event,user_review
multiple_station_events_in_grid,chongqing,g00380x00282,观月路(地铁站);觀月路站,same_physical_station,观月路站,观月路(地铁站),chongqing,merge_to_primary_metro_event,user_review
multiple_station_events_in_grid,chongqing,g00382x00283,莲花(地铁站);蓮花站,same_physical_station,莲花站,莲花(地铁站),chongqing,merge_to_primary_metro_event,user_review
multiple_station_events_in_grid,guangzhou,g00148x00094,体育中心(地铁站);石牌桥(地铁站),distinct_physical_stations,,,guangzhou,exclude_grid_from_primary_design,user_review
multiple_station_events_in_grid,guangzhou,g00156x00080,飞翔公园(地铁站);乐嘉路站,distinct_physical_stations,,,guangzhou,exclude_grid_from_primary_design,user_review
multiple_station_events_in_grid,guangzhou,g00161x00124,水西(地铁站);地铁水西站,distinct_modes_same_interchange,水西站,水西(地铁站),guangzhou,keep_metro_primary_record_tram_secondary,user_review
multiple_station_events_in_grid,hefei,g00202x00127,一六八中学(地铁站);南艳湖北(地铁站),distinct_physical_stations,,,hefei,exclude_grid_from_primary_design,user_review
multiple_station_events_in_grid,nanchang,g00137x00114,上沙沟(地铁站);二七北路站,same_physical_station,上沙沟站,上沙沟(地铁站),nanchang,merge_to_primary_metro_event,user_review
multiple_station_events_in_grid,nanjing,g00196x00117,水街坊;光华路,distinct_physical_stations,,,nanjing,exclude_grid_from_primary_design,user_review
multiple_station_events_in_grid,shanghai,g00100x00151,规划路站;浦航路(地铁站),same_physical_station,浦航路站,浦航路(地铁站),shanghai,merge_to_primary_metro_event,user_review
multiple_station_events_in_grid,shanghai,g00109x00130,雙柏路站;双柏路(地铁站),same_physical_station,双柏路站,双柏路(地铁站),shanghai,merge_to_primary_metro_event,user_review
multiple_station_events_in_grid,shanghai,g00132x00129,吳中路站;吴中路(地铁站),same_physical_station,吴中路站,吴中路(地铁站),shanghai,merge_to_primary_metro_event,user_review
multiple_station_events_in_grid,shanghai,g00133x00107,徐泾东站;国家会展中心站,same_physical_station,国家会展中心站,国家会展中心站,shanghai,merge_to_primary_metro_event,user_review
multiple_station_events_in_grid,shanghai,g00140x00151,向城路(地铁站);浦电路(地铁站),distinct_physical_stations,,,shanghai,exclude_grid_from_primary_design,user_review
multiple_station_events_in_grid,shanghai,g00144x00142,南京東路站;南京东路(地铁站),same_physical_station,南京东路站,南京東路站,shanghai,merge_to_primary_metro_event,user_review
multiple_station_events_in_grid,tianjin,g00133x00116,华山里(地铁站);东江道(地铁站),distinct_physical_stations,,,tianjin,exclude_grid_from_primary_design,user_review
multiple_station_events_in_grid,tianjin,g00136x00133,东丽开发区(地铁站);東麗開發區站,same_physical_station,东丽开发区站,东丽开发区(地铁站),tianjin,merge_to_primary_metro_event,user_review
multiple_station_events_in_grid,tianjin,g00139x00120,一号桥(地铁站);龙涵道(地铁站),distinct_physical_stations,,,tianjin,exclude_grid_from_primary_design,user_review
multiple_station_events_in_grid,tianjin,g00164x00096,南仓站 (地铁);南仓(地铁站),same_physical_station,南仓站,南仓(地铁站),tianjin,merge_to_primary_metro_event,user_review
multiple_station_events_in_grid,wuhan,g00157x00163,武汉火车站;武汉站东广场(地铁站),distinct_physical_stations,,,wuhan,exclude_grid_from_primary_design,user_review
multiple_station_events_in_grid,wuxi,g00122x00201,迎宾广场(地铁站);映月湖公园(地铁站),distinct_physical_stations,,,wuxi,exclude_grid_from_primary_design,user_review
outside_reference_grid,chengdu,,苌弘广场站,wrong_city_assignment,,,ziyang,exclude_outside_study_universe,user_review
outside_reference_grid,hangzhou,,嘉兴南站,wrong_city_assignment,,,jiaxing,exclude_outside_study_universe,user_review
outside_reference_grid,nanjing,,保顺路站,wrong_city_assignment,,,wuhu,exclude_outside_study_universe,user_review
outside_reference_grid,nanjing,,华山路站,wrong_city_assignment,,,wuhu,exclude_outside_study_universe,user_review
outside_reference_grid,nanjing,,太白站,wrong_city_assignment,,,wuhu,exclude_outside_study_universe,user_review
outside_reference_grid,nanjing,,泰山路站,wrong_city_assignment,,,wuhu,exclude_outside_study_universe,user_review
outside_reference_grid,shaoxing,,义蓬站,wrong_city_assignment,,,hangzhou,reassign_to_active_city,user_review
outside_reference_grid,shaoxing,,仓北村站,wrong_city_assignment,,,hangzhou,reassign_to_active_city,user_review
outside_reference_grid,shaoxing,,冯娄村站,wrong_city_assignment,,,hangzhou,reassign_to_active_city,user_review
outside_reference_grid,suzhou,,中山东路安乐路（旭辉广场）,wrong_city_assignment,,,jiaxing,exclude_outside_study_universe,user_review
outside_reference_grid,suzhou,,中山东路建国南路（瓶山）,wrong_city_assignment,,,jiaxing,exclude_outside_study_universe,user_review
outside_reference_grid,suzhou,,中山东路禾兴南路,wrong_city_assignment,,,jiaxing,exclude_outside_study_universe,user_review
outside_reference_grid,suzhou,,人民公园,wrong_city_assignment,,,jiaxing,exclude_outside_study_universe,user_review
outside_reference_grid,suzhou,,嘉兴一中,wrong_city_assignment,,,jiaxing,exclude_outside_study_universe,user_review
outside_reference_grid,suzhou,,嘉兴火车站,wrong_city_assignment,,,jiaxing,exclude_outside_study_universe,user_review
outside_reference_grid,suzhou,,庆丰路长水路,wrong_city_assignment,,,jiaxing,exclude_outside_study_universe,user_review
outside_reference_grid,suzhou,,有轨电车庆丰路基地,wrong_city_assignment,,,jiaxing,exclude_outside_study_universe,user_review
outside_reference_grid,suzhou,,由拳路双溪路,wrong_city_assignment,,,jiaxing,exclude_outside_study_universe,user_review
outside_reference_grid,suzhou,,由拳路商务大道,wrong_city_assignment,,,jiaxing,exclude_outside_study_universe,user_review
outside_reference_grid,suzhou,,纺工路南溪西路（南湖湖滨）,wrong_city_assignment,,,jiaxing,exclude_outside_study_universe,user_review
outside_reference_grid,zhengzhou,,永和路站,wrong_city_assignment,,,xuchang,exclude_outside_study_universe,user_review
