treatment_order,city_key,grid_id,station_event_id,opening_month,status,active_families,selected_method,donor_scope,control_city_key,control_grid_id,control_unit_key,candidate_count,candidate_city_count,training_feature_count,holdout_feature_count,training_distance,holdout_rms_standardized_gap,holdout_max_abs_standardized_gap,training_distance_threshold,holdout_rms_threshold,holdout_max_abs_threshold,control_selection_uses_post_outcome,failure_reason
1,shanghai,g00136x00165,shanghai_station_c72c54257f13,2010-02,pending,,,,,,,,,,,,,,,,,FALSE,
2,shanghai,g00137x00169,shanghai_station_f47abbacd586,2010-02,pending,,,,,,,,,,,,,,,,,FALSE,
3,shanghai,g00133x00107,shanghai_station_b709999f0a74,2010-03,pending,,,,,,,,,,,,,,,,,FALSE,
4,shanghai,g00155x00085,shanghai_station_20a894e6aeef,2010-03,pending,,,,,,,,,,,,,,,,,FALSE,
5,shanghai,g00156x00081,shanghai_station_bda6b3b723b3,2010-03,pending,,,,,,,,,,,,,,,,,FALSE,
6,shanghai,g00165x00094,shanghai_station_e2a4cea54b04,2010-03,pending,,,,,,,,,,,,,,,,,FALSE,
7,shanghai,g00127x00202,shanghai_station_a7723786b04e,2010-04,pending,,,,,,,,,,,,,,,,,FALSE,
8,shanghai,g00132x00183,shanghai_station_376ec52a6851,2010-04,pending,,,,,,,,,,,,,,,,,FALSE,
9,shanghai,g00133x00188,shanghai_station_9a9543f89bf4,2010-04,pending,,,,,,,,,,,,,,,,,FALSE,
10,shanghai,g00134x00180,shanghai_station_27ee77796e29,2010-04,pending,,,,,,,,,,,,,,,,,FALSE,
11,shanghai,g00134x00194,shanghai_station_0ed0dd903da6,2010-04,pending,,,,,,,,,,,,,,,,,FALSE,
12,shanghai,g00138x00175,shanghai_station_b784ae5614b7,2010-04,pending,,,,,,,,,,,,,,,,,FALSE,
13,shanghai,g00138x00178,shanghai_station_d5455c48ee34,2010-04,pending,,,,,,,,,,,,,,,,,FALSE,
14,shanghai,g00128x00118,shanghai_station_f17b5b51723b,2010-04,pending,,,,,,,,,,,,,,,,,FALSE,
15,shanghai,g00129x00119,shanghai_station_1f12987a3ed0,2010-04,pending,,,,,,,,,,,,,,,,,FALSE,
16,shanghai,g00130x00120,shanghai_station_2d7871f98485,2010-04,pending,,,,,,,,,,,,,,,,,FALSE,
17,shanghai,g00134x00122,shanghai_station_7afe3f29ac59,2010-04,pending,,,,,,,,,,,,,,,,,FALSE,
18,shanghai,g00135x00125,shanghai_station_9974f50358ab,2010-04,pending,,,,,,,,,,,,,,,,,FALSE,
19,shanghai,g00135x00127,shanghai_station_236f64d8052a,2010-04,pending,,,,,,,,,,,,,,,,,FALSE,
20,shanghai,g00135x00128,shanghai_station_3d014b7d6859,2010-04,pending,,,,,,,,,,,,,,,,,FALSE,
21,shanghai,g00135x00130,shanghai_station_b47c1099ea18,2010-04,pending,,,,,,,,,,,,,,,,,FALSE,
22,shanghai,g00137x00135,shanghai_station_e15f7ddab79b,2010-04,pending,,,,,,,,,,,,,,,,,FALSE,
23,shanghai,g00139x00142,shanghai_station_95cadf02a1f2,2010-04,pending,,,,,,,,,,,,,,,,,FALSE,
24,shanghai,g00147x00142,shanghai_station_86208cd6b939,2010-04,pending,,,,,,,,,,,,,,,,,FALSE,
25,shanghai,g00148x00143,shanghai_station_849010a01081,2010-04,pending,,,,,,,,,,,,,,,,,FALSE,
26,shanghai,g00150x00144,shanghai_station_7c8f768a5810,2010-04,pending,,,,,,,,,,,,,,,,,FALSE,
27,shanghai,g00152x00146,shanghai_station_2354f55d14d2,2010-04,pending,,,,,,,,,,,,,,,,,FALSE,
28,shanghai,g00153x00147,shanghai_station_caa4f65f7873,2010-04,pending,,,,,,,,,,,,,,,,,FALSE,
29,shanghai,g00157x00148,shanghai_station_976f88502a47,2010-04,pending,,,,,,,,,,,,,,,,,FALSE,
30,shanghai,g00158x00148,shanghai_station_5dd3e7115142,2010-04,pending,,,,,,,,,,,,,,,,,FALSE,
31,shanghai,g00160x00147,shanghai_station_086c22b528b2,2010-04,pending,,,,,,,,,,,,,,,,,FALSE,
32,shanghai,g00162x00147,shanghai_station_959d983d005f,2010-04,pending,,,,,,,,,,,,,,,,,FALSE,
33,shanghai,g00164x00147,shanghai_station_799da2bf9b37,2010-04,pending,,,,,,,,,,,,,,,,,FALSE,
34,shanghai,g00129x00140,shanghai_station_3812d78a89aa,2010-04,pending,,,,,,,,,,,,,,,,,FALSE,
35,shanghai,g00131x00142,shanghai_station_ebfcac421202,2010-04,pending,,,,,,,,,,,,,,,,,FALSE,
36,shanghai,g00135x00142,shanghai_station_41496f37bb68,2010-04,pending,,,,,,,,,,,,,,,,,FALSE,
37,shanghai,g00137x00141,shanghai_station_98db13b5cc56,2010-04,pending,,,,,,,,,,,,,,,,,FALSE,
38,nanjing,g00170x00123,nanjing_station_bc67c4f44670,2010-05,pending,,,,,,,,,,,,,,,,,FALSE,
