city_key,all_grids,experimental_grids,nonexperimental_grids,known_station_contaminated_nonexperimental_grids
beijing,96615,304,96311,4510
changchun,142205,72,142133,1044
changsha,75814,117,75697,1368
changzhou,36735,41,36694,490
chengdu,84803,354,84449,3164
chongqing,424995,252,424743,3045
dalian,86082,67,86015,1194
dongguan,20648,15,20633,282
foshan,33890,39,33851,620
fuzhou,120378,98,120280,1044
guangzhou,52177,167,52010,2672
guiyang,53408,57,53351,763
hangzhou,98616,234,98382,2796
harbin,265943,73,265870,704
hefei,70614,143,70471,1704
hohhot,95389,43,95346,462
jinan,70469,42,70427,674
jinhua,67080,24,67056,475
kunming,123625,92,123533,1025
lanzhou,78695,20,78675,235
luoyang,88791,33,88758,379
nanchang,48219,113,48106,1131
nanjing,48676,184,48492,2724
nanning,124494,92,124402,981
nantong,96326,28,96298,361
ningbo,97059,114,96945,1491
qingdao,113392,154,113238,1977
shanghai,91829,274,91555,4505
shaoxing,53696,35,53661,444
shenyang,79877,67,79810,1215
shenzhen,36637,205,36432,2366
shijiazhuang,82179,60,82119,626
suzhou,55880,231,55649,2023
taiyuan,48388,23,48365,316
taizhou,93377,15,93362,295
tianjin,78853,184,78669,2272
urumqi,90120,19,90101,247
wenzhou,110981,35,110946,662
wuhan,57988,260,57728,3077
wuxi,36325,79,36246,935
xiamen,17289,70,17219,705
xian,65455,246,65209,2696
xuzhou,75145,56,75089,684
zhengzhou,50424,217,50207,2350
