treatment_order,city_key,grid_id,station_event_id,opening_month,outcome_family,status,selected_method,failure_reason
1,shanghai,g00136x00165,shanghai_station_c72c54257f13,2010-02,housing,pending,,
1,shanghai,g00136x00165,shanghai_station_c72c54257f13,2010-02,poi,pending,,
1,shanghai,g00136x00165,shanghai_station_c72c54257f13,2010-02,population,pending,,
1,shanghai,g00136x00165,shanghai_station_c72c54257f13,2010-02,viirs,pending,,
2,shanghai,g00137x00169,shanghai_station_f47abbacd586,2010-02,housing,pending,,
2,shanghai,g00137x00169,shanghai_station_f47abbacd586,2010-02,poi,pending,,
2,shanghai,g00137x00169,shanghai_station_f47abbacd586,2010-02,population,pending,,
2,shanghai,g00137x00169,shanghai_station_f47abbacd586,2010-02,viirs,pending,,
3,shanghai,g00133x00107,shanghai_station_b709999f0a74,2010-03,housing,pending,,
3,shanghai,g00133x00107,shanghai_station_b709999f0a74,2010-03,poi,pending,,
3,shanghai,g00133x00107,shanghai_station_b709999f0a74,2010-03,population,pending,,
3,shanghai,g00133x00107,shanghai_station_b709999f0a74,2010-03,viirs,pending,,
4,shanghai,g00155x00085,shanghai_station_20a894e6aeef,2010-03,housing,pending,,
4,shanghai,g00155x00085,shanghai_station_20a894e6aeef,2010-03,poi,pending,,
4,shanghai,g00155x00085,shanghai_station_20a894e6aeef,2010-03,population,pending,,
4,shanghai,g00155x00085,shanghai_station_20a894e6aeef,2010-03,viirs,pending,,
5,shanghai,g00156x00081,shanghai_station_bda6b3b723b3,2010-03,housing,pending,,
5,shanghai,g00156x00081,shanghai_station_bda6b3b723b3,2010-03,poi,pending,,
5,shanghai,g00156x00081,shanghai_station_bda6b3b723b3,2010-03,population,pending,,
5,shanghai,g00156x00081,shanghai_station_bda6b3b723b3,2010-03,viirs,pending,,
6,shanghai,g00165x00094,shanghai_station_e2a4cea54b04,2010-03,housing,pending,,
6,shanghai,g00165x00094,shanghai_station_e2a4cea54b04,2010-03,poi,pending,,
6,shanghai,g00165x00094,shanghai_station_e2a4cea54b04,2010-03,population,pending,,
6,shanghai,g00165x00094,shanghai_station_e2a4cea54b04,2010-03,viirs,pending,,
7,shanghai,g00127x00202,shanghai_station_a7723786b04e,2010-04,housing,pending,,
7,shanghai,g00127x00202,shanghai_station_a7723786b04e,2010-04,poi,pending,,
7,shanghai,g00127x00202,shanghai_station_a7723786b04e,2010-04,population,pending,,
7,shanghai,g00127x00202,shanghai_station_a7723786b04e,2010-04,viirs,pending,,
8,shanghai,g00132x00183,shanghai_station_376ec52a6851,2010-04,housing,pending,,
8,shanghai,g00132x00183,shanghai_station_376ec52a6851,2010-04,poi,pending,,
8,shanghai,g00132x00183,shanghai_station_376ec52a6851,2010-04,population,pending,,
8,shanghai,g00132x00183,shanghai_station_376ec52a6851,2010-04,viirs,pending,,
9,shanghai,g00133x00188,shanghai_station_9a9543f89bf4,2010-04,housing,pending,,
9,shanghai,g00133x00188,shanghai_station_9a9543f89bf4,2010-04,poi,pending,,
9,shanghai,g00133x00188,shanghai_station_9a9543f89bf4,2010-04,population,pending,,
9,shanghai,g00133x00188,shanghai_station_9a9543f89bf4,2010-04,viirs,pending,,
10,shanghai,g00134x00180,shanghai_station_27ee77796e29,2010-04,housing,pending,,
10,shanghai,g00134x00180,shanghai_station_27ee77796e29,2010-04,poi,pending,,
10,shanghai,g00134x00180,shanghai_station_27ee77796e29,2010-04,population,pending,,
10,shanghai,g00134x00180,shanghai_station_27ee77796e29,2010-04,viirs,pending,,
11,shanghai,g00134x00194,shanghai_station_0ed0dd903da6,2010-04,housing,pending,,
11,shanghai,g00134x00194,shanghai_station_0ed0dd903da6,2010-04,poi,pending,,
11,shanghai,g00134x00194,shanghai_station_0ed0dd903da6,2010-04,population,pending,,
11,shanghai,g00134x00194,shanghai_station_0ed0dd903da6,2010-04,viirs,pending,,
12,shanghai,g00138x00175,shanghai_station_b784ae5614b7,2010-04,housing,pending,,
12,shanghai,g00138x00175,shanghai_station_b784ae5614b7,2010-04,poi,pending,,
12,shanghai,g00138x00175,shanghai_station_b784ae5614b7,2010-04,population,pending,,
12,shanghai,g00138x00175,shanghai_station_b784ae5614b7,2010-04,viirs,pending,,
13,shanghai,g00138x00178,shanghai_station_d5455c48ee34,2010-04,housing,pending,,
13,shanghai,g00138x00178,shanghai_station_d5455c48ee34,2010-04,poi,pending,,
13,shanghai,g00138x00178,shanghai_station_d5455c48ee34,2010-04,population,pending,,
13,shanghai,g00138x00178,shanghai_station_d5455c48ee34,2010-04,viirs,pending,,
14,shanghai,g00128x00118,shanghai_station_f17b5b51723b,2010-04,housing,pending,,
14,shanghai,g00128x00118,shanghai_station_f17b5b51723b,2010-04,poi,pending,,
14,shanghai,g00128x00118,shanghai_station_f17b5b51723b,2010-04,population,pending,,
14,shanghai,g00128x00118,shanghai_station_f17b5b51723b,2010-04,viirs,pending,,
15,shanghai,g00129x00119,shanghai_station_1f12987a3ed0,2010-04,housing,pending,,
15,shanghai,g00129x00119,shanghai_station_1f12987a3ed0,2010-04,poi,pending,,
15,shanghai,g00129x00119,shanghai_station_1f12987a3ed0,2010-04,population,pending,,
15,shanghai,g00129x00119,shanghai_station_1f12987a3ed0,2010-04,viirs,pending,,
16,shanghai,g00130x00120,shanghai_station_2d7871f98485,2010-04,housing,pending,,
16,shanghai,g00130x00120,shanghai_station_2d7871f98485,2010-04,poi,pending,,
16,shanghai,g00130x00120,shanghai_station_2d7871f98485,2010-04,population,pending,,
16,shanghai,g00130x00120,shanghai_station_2d7871f98485,2010-04,viirs,pending,,
17,shanghai,g00134x00122,shanghai_station_7afe3f29ac59,2010-04,housing,pending,,
17,shanghai,g00134x00122,shanghai_station_7afe3f29ac59,2010-04,poi,pending,,
17,shanghai,g00134x00122,shanghai_station_7afe3f29ac59,2010-04,population,pending,,
17,shanghai,g00134x00122,shanghai_station_7afe3f29ac59,2010-04,viirs,pending,,
18,shanghai,g00135x00125,shanghai_station_9974f50358ab,2010-04,housing,pending,,
18,shanghai,g00135x00125,shanghai_station_9974f50358ab,2010-04,poi,pending,,
18,shanghai,g00135x00125,shanghai_station_9974f50358ab,2010-04,population,pending,,
18,shanghai,g00135x00125,shanghai_station_9974f50358ab,2010-04,viirs,pending,,
19,shanghai,g00135x00127,shanghai_station_236f64d8052a,2010-04,housing,pending,,
19,shanghai,g00135x00127,shanghai_station_236f64d8052a,2010-04,poi,pending,,
19,shanghai,g00135x00127,shanghai_station_236f64d8052a,2010-04,population,pending,,
19,shanghai,g00135x00127,shanghai_station_236f64d8052a,2010-04,viirs,pending,,
20,shanghai,g00135x00128,shanghai_station_3d014b7d6859,2010-04,housing,pending,,
20,shanghai,g00135x00128,shanghai_station_3d014b7d6859,2010-04,poi,pending,,
20,shanghai,g00135x00128,shanghai_station_3d014b7d6859,2010-04,population,pending,,
20,shanghai,g00135x00128,shanghai_station_3d014b7d6859,2010-04,viirs,pending,,
21,shanghai,g00135x00130,shanghai_station_b47c1099ea18,2010-04,housing,pending,,
21,shanghai,g00135x00130,shanghai_station_b47c1099ea18,2010-04,poi,pending,,
21,shanghai,g00135x00130,shanghai_station_b47c1099ea18,2010-04,population,pending,,
21,shanghai,g00135x00130,shanghai_station_b47c1099ea18,2010-04,viirs,pending,,
22,shanghai,g00137x00135,shanghai_station_e15f7ddab79b,2010-04,housing,pending,,
22,shanghai,g00137x00135,shanghai_station_e15f7ddab79b,2010-04,poi,pending,,
22,shanghai,g00137x00135,shanghai_station_e15f7ddab79b,2010-04,population,pending,,
22,shanghai,g00137x00135,shanghai_station_e15f7ddab79b,2010-04,viirs,pending,,
23,shanghai,g00139x00142,shanghai_station_95cadf02a1f2,2010-04,housing,pending,,
23,shanghai,g00139x00142,shanghai_station_95cadf02a1f2,2010-04,poi,pending,,
23,shanghai,g00139x00142,shanghai_station_95cadf02a1f2,2010-04,population,pending,,
23,shanghai,g00139x00142,shanghai_station_95cadf02a1f2,2010-04,viirs,pending,,
24,shanghai,g00147x00142,shanghai_station_86208cd6b939,2010-04,housing,pending,,
24,shanghai,g00147x00142,shanghai_station_86208cd6b939,2010-04,poi,pending,,
24,shanghai,g00147x00142,shanghai_station_86208cd6b939,2010-04,population,pending,,
24,shanghai,g00147x00142,shanghai_station_86208cd6b939,2010-04,viirs,pending,,
25,shanghai,g00148x00143,shanghai_station_849010a01081,2010-04,housing,pending,,
25,shanghai,g00148x00143,shanghai_station_849010a01081,2010-04,poi,pending,,
25,shanghai,g00148x00143,shanghai_station_849010a01081,2010-04,population,pending,,
25,shanghai,g00148x00143,shanghai_station_849010a01081,2010-04,viirs,pending,,
26,shanghai,g00150x00144,shanghai_station_7c8f768a5810,2010-04,housing,pending,,
26,shanghai,g00150x00144,shanghai_station_7c8f768a5810,2010-04,poi,pending,,
26,shanghai,g00150x00144,shanghai_station_7c8f768a5810,2010-04,population,pending,,
26,shanghai,g00150x00144,shanghai_station_7c8f768a5810,2010-04,viirs,pending,,
27,shanghai,g00152x00146,shanghai_station_2354f55d14d2,2010-04,housing,pending,,
27,shanghai,g00152x00146,shanghai_station_2354f55d14d2,2010-04,poi,pending,,
27,shanghai,g00152x00146,shanghai_station_2354f55d14d2,2010-04,population,pending,,
27,shanghai,g00152x00146,shanghai_station_2354f55d14d2,2010-04,viirs,pending,,
28,shanghai,g00153x00147,shanghai_station_caa4f65f7873,2010-04,housing,pending,,
