treatment_order,city_key,grid_id,station_event_id,station_name,wgs84_lon,wgs84_lat,opening_date,opening_month,competing_event_ids,post_treatment_censor_year
1,shanghai,g00136x00165,shanghai_station_c72c54257f13,金科路(地铁站),121.5977903,31.2064275,2010-02-24,2010-02,,
2,shanghai,g00137x00169,shanghai_station_f47abbacd586,广兰路站,121.619,31.2131,2010-02-24,2010-02,,
3,shanghai,g00133x00107,shanghai_station_b709999f0a74,国家会展中心站,121.29614,31.19105,2010-03-16,2010-03,,
4,shanghai,g00155x00085,shanghai_station_20a894e6aeef,上海汽车城(地铁站),121.1762314,31.2873251,2010-03-29,2010-03,,
5,shanghai,g00156x00081,shanghai_station_bda6b3b723b3,安亭(地铁站),121.157436,31.2903757,2010-03-29,2010-03,,
6,shanghai,g00165x00094,shanghai_station_e2a4cea54b04,上海赛车场(地铁站),121.2216544,31.3338685,2010-03-29,2010-03,,
7,shanghai,g00127x00202,shanghai_station_a7723786b04e,海天三路(地铁站),121.7925674,31.1705425,2010-04-08,2010-04,,
8,shanghai,g00132x00183,shanghai_station_376ec52a6851,川沙(地铁站),121.6938755,31.1888245,2010-04-08,2010-04,,
9,shanghai,g00133x00188,shanghai_station_9a9543f89bf4,凌空路(地铁站),121.7197279,31.194907,2010-04-08,2010-04,,
10,shanghai,g00134x00180,shanghai_station_27ee77796e29,华夏东路(地铁站),121.6766673,31.1986844,2010-04-08,2010-04,,
11,shanghai,g00134x00194,shanghai_station_0ed0dd903da6,远东大道(地铁站),121.7509293,31.2014154,2010-04-08,2010-04,,
12,shanghai,g00138x00175,shanghai_station_b784ae5614b7,唐镇(地铁站),121.6520103,31.2162546,2010-04-08,2010-04,,
13,shanghai,g00138x00178,shanghai_station_d5455c48ee34,创新中路(地铁站),121.6694209,31.2159858,2010-04-08,2010-04,,
14,shanghai,g00128x00118,shanghai_station_f17b5b51723b,航中路(地铁站),121.3507399,31.1673265,2010-04-10,2010-04,,
15,shanghai,g00129x00119,shanghai_station_1f12987a3ed0,紫藤路(地铁站),121.3602176,31.1715669,2010-04-10,2010-04,,
16,shanghai,g00130x00120,shanghai_station_2d7871f98485,龙柏新村(地铁站),121.3658573,31.1787638,2010-04-10,2010-04,,
